"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2","litter_mgha","duff_mgha","x1h_mgha","x10h_mgha","x100h_mgha","x1000h_mgha","fines_mgha","total_mgha","treatment","planting","followup"
"21","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:23","post",2019-07-30,24,0,0,0,1,3,0,0,225,0,0,0.0303250196088953,0.944410654200829,0,4.56283930380746,0.974735673809725,5.53757497761719,"CG","C","G"
"22","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:23","pre",2017-06-27,24,2,0,2,2,0,1,0,1992,7.26,0,0.0606500392177906,0,2.49033944300572,40.3963373030421,9.81098948222351,50.2073267852656,"CG","C","G"
"23","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:3","post",2019-07-30,24,0,0,0,0,7,1,0,225,0,0,0,2.20362485980194,2.49033944300572,4.56283930380746,4.69396430280766,9.25680360661512,"CG","C","G"
"24","E1","E1:CG","E1:CG:N","E1:CG:N:1","E1:CG:N:1:3","pre",2017-06-27,24,0.75,0,0.75,0,3,2,0,1992,2.7225,0,0,0.944410654200829,4.98067888601145,40.3963373030421,8.64758954021228,49.0439268432543,"CG","C","G"
"25","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:13","post",2019-07-30,30,0,0,1,3,1,0,0,394,0,0,0.0923580751175302,0.319589241518176,0,8.11150435092322,0.411947316635706,8.52345166755893,"CG","C","G"
"26","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:13","pre",2017-06-27,30,2.25,0,5,2,6,3,0,1778,8.1675,0,0.0615720500783535,1.91753544910906,7.58459385390813,36.6047074516282,17.7312013530955,54.3359088047237,"CG","C","G"
"27","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:23","post",2019-07-30,30,1,0,1,4,1,1,0,394,3.63,0,0.123144100156707,0.319589241518176,2.52819795130271,8.11150435092322,6.60093129297759,14.7124356439008,"CG","C","G"
"28","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:23","pre",2017-06-27,30,3.25,0,8,1,2,3,0,1778,11.7975,0,0.0307860250391767,0.639178483036352,7.58459385390813,36.6047074516282,20.0520583619837,56.6567658136118,"CG","C","G"
"29","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:3","post",2019-07-30,30,1.5,0,5.5,37,6,2,0,394,5.445,0,1.13908292644954,1.91753544910906,5.05639590260542,8.11150435092322,13.558014278164,21.6695186290872,"CG","C","G"
"30","E1","E1:CG","E1:CG:N","E1:CG:N:2","E1:CG:N:2:3","pre",2017-06-27,30,3.25,1,5,0,3,5,0,1778,11.7975,17.5,0,0.958767724554528,12.6409897565135,36.6047074516282,25.3972574810681,79.5019649326962,"CG","C","G"
"31","E1","E1:CG","E1:CG:N","E1:CG:N:3","E1:CG:N:3:13","post",2019-07-30,24,0.5,0.5,0.5,33,5,1,0,1210,1.815,8.75,1.00072564709355,1.57401775700138,2.49033944300572,24.5379358115868,6.88008284710065,40.1680186586874,"CG","C","G"
"32","E1","E1:CG","E1:CG:N","E1:CG:N:3","E1:CG:N:3:13","pre",2017-06-27,24,0.5,0.25,9,0,1,1,1053,4449,1.815,4.375,0,0.314803551400276,2.49033944300572,106.57886517946,4.620142994406,115.574008173866,"CG","C","G"
"33","E1","E1:CG","E1:CG:N","E1:CG:N:3","E1:CG:N:3:23","post",2019-07-30,24,1.5,1.5,20,35,7,2,0,1210,5.445,26.25,1.06137568631134,2.20362485980194,4.98067888601145,24.5379358115868,13.6906794321247,64.4786152437115,"CG","C","G"
