"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"37","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:13","post",2019-07-30,28,0,0,0,15,5,0,0,0
"38","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:13","pre",2017-06-27,28,3.5,0,20,0,2,4,0,4727
"39","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:23","post",2019-07-30,28,0,1,1,6,6,0,0,0
"40","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:23","pre",2017-06-27,28,3.25,0.5,3.5,4,3,1,0,4727
"41","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:3","post",2019-07-30,28,0,0,7.5,19,5,0,0,0
"42","E1","E1:CG","E1:CG:S","E1:CG:S:1","E1:CG:S:1:3","pre",2017-06-27,28,3,0.5,3,1,1,0,0,4727
"43","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:13","post",2019-07-30,15,0,0,0,8,5,0,100,356
"44","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:13","pre",2017-06-27,15,2.5,0.5,4.5,1,6,5,0,4202
"45","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:23","post",2019-07-30,15,0,0.5,0.5,19,0,0,100,356
"46","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:23","pre",2017-06-27,15,4.5,1,5.5,0,0,1,0,4202
"47","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:3","post",2019-07-30,15,0,0,0,6,2,1,100,356
"48","E1","E1:CG","E1:CG:S","E1:CG:S:2","E1:CG:S:2:3","pre",2017-06-27,15,3,0,3,0,2,1,0,4202
"49","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:13","post",2019-07-30,16,0,0,0,5,3,0,0,405
"50","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:13","pre",2017-06-27,16,2,0.5,2,0,4,0,484,2407
"51","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:23","post",2019-07-30,16,0,0,0,13,0,3,0,405
"52","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:23","pre",2017-06-27,16,1.5,0.25,1.5,0,1,0,484,2407
"53","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:3","post",2019-07-30,16,0.5,0,0.5,7,2,0,0,405
"54","E1","E1:CG","E1:CG:S","E1:CG:S:3","E1:CG:S:3:3","pre",2017-06-27,16,2.5,0,2.5,0,2,2,484,2407
"55","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:13","post",2019-07-29,18,0.5,0,7,20,1,6,0,777
"56","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:13","pre",2017-06-29,18,1,0.25,8.5,0,2,6,0,3128
"57","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:23","post",2019-07-29,18,0.5,0,7.5,11,3,0,0,777
"58","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:23","pre",2017-06-29,18,1.25,0.25,7,2,3,2,0,3128
"59","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:3","post",2019-07-29,18,0,0,0,15,3,1,0,777
"60","E1","E1:CH","E1:CH:M","E1:CH:M:1","E1:CH:M:1:3","pre",2017-06-29,18,0.25,0,4,0,0,1,0,3128
"61","E1","E1:CH","E1:CH:M","E1:CH:M:2","E1:CH:M:2:13","post",2019-07-29,16,0,0,0,9,2,0,0,100
