"subtransect","subsubtransect","time","treatment","planting","followup","block","plot","transect","litterduff_mgha","fwd_mgha","cwd_mgha","total_mgha","high_fwd","p_highshrubs","high_shrub_fuels","high_intensity_fuels","x","y"
"E1:CG:S:2","E1:CG:S:2:3","pre","CG","C","G","E1","E1:CG","E1:CG:S",10.89,3.06773676101684,83.787578846376,97.7453156073928,FALSE,1,TRUE,TRUE,698796.452344197,4457011.37021225
"E1:CG:S:2","E1:CG:S:2:13","post","CG","C","G","E1","E1:CG","E1:CG:S",0,1.78621828075851,8.62592814518171,10.4121464259402,FALSE,0,FALSE,FALSE,698806.419909067,4457011.60305694
"E1:CG:S:2","E1:CG:S:2:13","pre","CG","C","G","E1","E1:CG","E1:CG:S",17.825,14.1303590867804,83.787578846376,115.742937933156,FALSE,1,TRUE,TRUE,698806.419909067,4457011.60305694
"E1:CG:S:2","E1:CG:S:2:23","post","CG","C","G","E1","E1:CG","E1:CG:S",8.75,0.566533543210352,8.62592814518171,17.9424616883921,FALSE,0,FALSE,FALSE,698816.387473937,4457011.83590163
"E1:CG:S:2","E1:CG:S:2:23","pre","CG","C","G","E1","E1:CG","E1:CG:S",33.835,2.44866562441202,83.787578846376,120.071244470788,FALSE,1,TRUE,TRUE,698816.387473937,4457011.83590163
"E1:CG:N:1","E1:CG:N:1:3","post","CG","C","G","E1","E1:CG","E1:CG:N",0,4.69396430280766,4.56283930380746,9.25680360661512,FALSE,0,FALSE,FALSE,698765.498921627,4457055.65940952
"E1:CG:N:1","E1:CG:N:1:3","pre","CG","C","G","E1","E1:CG","E1:CG:N",2.7225,5.92508954021228,40.3963373030421,49.0439268432543,FALSE,0.8,TRUE,TRUE,698765.498921627,4457055.65940952
"E1:CG:N:1","E1:CG:N:1:13","post","CG","C","G","E1","E1:CG","E1:CG:N",0,1.03538571302752,4.56283930380746,5.59822501683498,FALSE,0.125,FALSE,FALSE,698775.466440834,4457055.89225314
"E1:CG:N:1","E1:CG:N:1:13","pre","CG","C","G","E1","E1:CG","E1:CG:N",33.835,5.29548243741172,40.3963373030421,79.5268197404538,FALSE,1,TRUE,TRUE,698775.466440834,4457055.89225314
"E1:CG:N:1","E1:CG:N:1:23","post","CG","C","G","E1","E1:CG","E1:CG:N",0,0.974735673809725,4.56283930380746,5.53757497761719,FALSE,0.15,FALSE,FALSE,698785.433960041,4457056.12509677
"E1:CG:N:1","E1:CG:N:1:23","pre","CG","C","G","E1","E1:CG","E1:CG:N",7.26,2.55098948222351,40.3963373030421,50.2073267852656,FALSE,0.3,FALSE,FALSE,698785.433960041,4457056.12509677
"E1:EG:S:2","E1:EG:S:2:3","post","EG","E","G","E1","E1:EG","E1:EG:S",10.89,0.620008871633757,38.9285860815605,50.4385949531943,FALSE,0,FALSE,FALSE,698505.486027571,4457343.21529116
"E1:EG:S:2","E1:EG:S:2:3","pre","EG","E","G","E1","E1:EG","E1:EG:S",8.005,10.8291003857557,68.2668348264671,87.1009352122227,FALSE,0.55,TRUE,TRUE,698505.486027571,4457343.21529116
"E1:EG:S:2","E1:EG:S:2:13","post","EG","E","G","E1","E1:EG","E1:EG:S",0,7.13450595032256,38.9285860815605,46.0630920318831,FALSE,0,FALSE,FALSE,698515.453592441,4457343.44813584
"E1:EG:S:2","E1:EG:S:2:13","pre","EG","E","G","E1","E1:EG","E1:EG:S",2.7225,0.310004435816878,68.2668348264671,71.299339262284,FALSE,0.6,TRUE,TRUE,698515.453592441,4457343.44813584
"E1:EG:S:2","E1:EG:S:2:23","post","EG","E","G","E1","E1:EG","E1:EG:S",0,0,38.9285860815605,38.9285860815605,FALSE,0,FALSE,FALSE,698525.421157311,4457343.68098053
"E1:EG:S:2","E1:EG:S:2:23","pre","EG","E","G","E1","E1:EG","E1:EG:S",12.38,0,68.2668348264671,80.6468348264671,FALSE,0.575,TRUE,TRUE,698525.421157311,4457343.68098053
"E1:EG:M:1","E1:EG:M:1:3","post","EG","E","G","E1","E1:EG","E1:EG:M",0,4.21143595430939,22.3865182427136,26.597954197023,FALSE,0.25,FALSE,FALSE,698475.05796898,4457365.01062276
"E1:EG:M:1","E1:EG:M:1:3","pre","EG","E","G","E1","E1:EG","E1:EG:M",22.0375,3.07238360053216,69.2232766919054,94.3331602924376,FALSE,0.9,TRUE,TRUE,698475.05796898,4457365.01062276
"E1:EG:M:1","E1:EG:M:1:13","post","EG","E","G","E1","E1:EG","E1:EG:M",0.9075,1.66947306269959,22.3865182427136,24.9634913054132,FALSE,0.175,FALSE,FALSE,698485.025511019,4457365.24346691
"E1:EG:M:1","E1:EG:M:1:13","pre","EG","E","G","E1","E1:EG","E1:EG:M",2.7225,3.41225075725284,69.2232766919054,75.3580274491582,FALSE,0.775,TRUE,TRUE,698485.025511019,4457365.24346691
"E1:EG:M:1","E1:EG:M:1:23","post","EG","E","G","E1","E1:EG","E1:EG:M",9.075,3.07238360053216,22.3865182427136,34.5339018432458,FALSE,0,FALSE,FALSE,698494.993053058,4457365.47631107
"E1:EG:M:1","E1:EG:M:1:23","pre","EG","E","G","E1","E1:EG","E1:EG:M",0,0.649871592537556,69.2232766919054,69.8731482844429,FALSE,0.25,FALSE,FALSE,698494.993053058,4457365.47631107
"E1:EG:N:1","E1:EG:N:1:3","post","EG","E","G","E1","E1:EG","E1:EG:N",0,4.01894009712483,6.16131252611421,10.180252623239,FALSE,0,FALSE,FALSE,698474.532605001,4457387.50448843
"E1:EG:N:1","E1:EG:N:1:3","pre","EG","E","G","E1","E1:EG","E1:EG:N",8.9125,0.312173167989787,42.0642219274176,51.2888950954074,FALSE,1,TRUE,TRUE,698474.532605001,4457387.50448843
"E1:EG:N:1","E1:EG:N:1:13","post","EG","E","G","E1","E1:EG","E1:EG:N",3.63,3.64662365947654,6.16131252611421,13.4379361855907,FALSE,0.1,FALSE,FALSE,698484.500124208,4457387.73733205
"E1:EG:N:1","E1:EG:N:1:13","pre","EG","E","G","E1","E1:EG","E1:EG:N",15.265,3.74829538366155,42.0642219274176,61.0775173110792,FALSE,0.875,TRUE,TRUE,698484.500124208,4457387.73733205
"E1:EG:N:1","E1:EG:N:1:23","post","EG","E","G","E1","E1:EG","E1:EG:N",0,2.81177587969219,6.16131252611421,8.9730884058064,FALSE,0.1,FALSE,FALSE,698494.467643416,4457387.97017567
"E1:EG:N:1","E1:EG:N:1:23","pre","EG","E","G","E1","E1:EG","E1:EG:N",3.63,0,42.0642219274176,45.6942219274176,FALSE,0.8,TRUE,TRUE,698494.467643416,4457387.97017567
"E1:EG:S:3","E1:EG:S:3:3","post","EG","E","G","E1","E1:EG","E1:EG:S",3.63,3.794825926249,32.9856746755547,40.4105006018037,FALSE,0,FALSE,FALSE,698535.388722181,4457343.91382522
"E1:EG:S:3","E1:EG:S:3:3","pre","EG","E","G","E1","E1:EG","E1:EG:S",1.815,0.411947316635706,52.9306540259483,55.157601342584,FALSE,0.675,TRUE,TRUE,698535.388722181,4457343.91382522
"E1:EG:S:3","E1:EG:S:3:13","post","EG","E","G","E1","E1:EG","E1:EG:S",0,3.80721196762525,32.9856746755547,36.79288664318,FALSE,0,FALSE,FALSE,698545.35628705,4457344.14666991
"E1:EG:S:3","E1:EG:S:3:13","pre","EG","E","G","E1","E1:EG","E1:EG:S",3.63,2.04067954926576,52.9306540259483,58.601333575214,FALSE,0.4,FALSE,FALSE,698545.35628705,4457344.14666991
